country,expectancy,year
CYP,78.63,2005
CYP,78.764,2006
CYP,78.91,2007
CYP,79.071,2008
CYP,79.245,2009
CYP,79.43,2010
CYP,79.621,2011
CYP,79.812,2012
CYP,79.999,2013
CYP,80.178,2014
CYP,80.35,2015
CYP,80.513,2016
CYP,80.672,2017
CYP,80.828,2018
CYP,80.982,2019
CZE,74.66829268,1999
CZE,74.96829268,2000
CZE,75.17317073,2001
CZE,75.22195122,2002
CZE,75.17073171,2003
CZE,75.72195122,2004
CZE,75.92439024,2005
CZE,76.52439024,2006
CZE,76.72439024,2007
CZE,76.97560976,2008
CZE,77.07804878,2009
CZE,77.42439024,2010
CZE,77.87317073,2011
CZE,78.07560976,2012
CZE,78.17560976,2013
CZE,78.82439024,2014
CZE,78.57804878,2015
CZE,79.02682927,2016
CZE,78.97804878,2017
CZE,79.02926829,2018
CZE,79.12926829,2019
DEU,77.72682927,1999
DEU,77.92682927,2000
DEU,78.32926829,2001
DEU,78.22926829,2002
DEU,78.3804878,2003
DEU,78.6804878,2004
DEU,78.93170732,2005
DEU,79.13170732,2006
DEU,79.53414634,2007
DEU,79.73658537,2008
DEU,79.83658537,2009
DEU,79.98780488,2010
DEU,80.43658537,2011
DEU,80.53902439,2012
DEU,80.4902439,2013
DEU,81.0902439,2014
DEU,80.64146341,2015
DEU,80.9902439,2016
DEU,80.99268293,2017
DEU,80.89268293,2018
DEU,80.94146341,2019
DJI,56.992,1999
DJI,57.022,2000
DJI,57.1,2001
DJI,57.235,2002
DJI,57.427,2003
DJI,57.682,2004
DJI,57.991,2005
DJI,58.34,2006
DJI,58.719,2007
DJI,59.124,2008
DJI,59.561,2009
DJI,60.062,2010
DJI,60.667,2011
DJI,61.395,2012
DJI,62.239,2013
DJI,63.171,2014
DJI,64.136,2015
DJI,65.064,2016
DJI,65.893,2017
DJI,66.582,2018
DJI,67.112,2019
DNK,76.34146341,1999
DNK,76.59268293,2000
DNK,76.79268293,2001
DNK,76.89512195,2002
DNK,77.14390244,2003
DNK,77.49268293,2004
DNK,77.84390244,2005
DNK,78.09512195,2006
DNK,78.19512195,2007
DNK,78.44634146,2008
DNK,78.59756098,2009
DNK,79.1,2010
DNK,79.8,2011
DNK,80.05121951,2012
DNK,80.3,2013
DNK,80.7,2014
DNK,80.70243902,2015
DNK,80.85365854,2016
DNK,81.10243902,2017
DNK,80.95365854,2018
DNK,81.20243902,2019
DOM,69.175,1999
DOM,69.429,2000
DOM,69.69,2001
DOM,69.957,2002
DOM,70.227,2003
DOM,70.499,2004
DOM,70.771,2005
DOM,71.041,2006
DOM,71.304,2007
DOM,71.559,2008
DOM,71.806,2009
DOM,72.046,2010
DOM,72.284,2011
DOM,72.523,2012
DOM,72.763,2013
DOM,73.003,2014
DOM,73.241,2015
DOM,73.471,2016
DOM,73.689,2017
DOM,73.892,2018
DOM,74.081,2019
DZA,70.183,1999
DZA,70.64,2000
DZA,71.116,2001
DZA,71.605,2002
DZA,72.101,2003
DZA,72.594,2004
DZA,73.072,2005
DZA,73.521,2006
DZA,73.936,2007
DZA,74.311,2008
DZA,74.644,2009
DZA,74.938,2010
DZA,75.199,2011
DZA,75.436,2012
DZA,75.661,2013
DZA,75.878,2014
DZA,76.09,2015
DZA,76.298,2016
DZA,76.499,2017
DZA,76.693,2018
DZA,76.88,2019
ECU,72.425,1999
ECU,72.761,2000
ECU,73.078,2001
ECU,73.371,2002
ECU,73.641,2003
ECU,73.887,2004
ECU,74.112,2005
ECU,74.319,2006
ECU,74.514,2007
ECU,74.705,2008
ECU,74.895,2009
ECU,75.089,2010
ECU,75.289,2011
ECU,75.495,2012
ECU,75.707,2013
ECU,75.923,2014
ECU,76.143,2015
ECU,76.365,2016
ECU,76.584,2017
ECU,76.8,2018
ECU,77.01,2019
EGY,68.357,1999
EGY,68.602,2000
EGY,68.796,2001
EGY,68.961,2002
EGY,69.116,2003
EGY,69.271,2004
EGY,69.434,2005
EGY,69.608,2006
EGY,69.788,2007
EGY,69.971,2008
EGY,70.159,2009
EGY,70.349,2010
EGY,70.543,2011
EGY,70.736,2012
EGY,70.928,2013
EGY,71.117,2014
