country,rate,year
ETH,,1955
ETH,,1960
ETH,6,1965
ETH,12.8,1970
ETH,,1975
ETH,22.9,1980
ETH,,1985
ETH,30.8,1990
ETH,35.5,1995
ETH,40.4,2000
ETH,39.8,2005
ETH,39,2010
FIN,,1905
FIN,38.8,1900
FIN,55.3,1910
FIN,,1915
FIN,69.9,1920
FIN,,1925
FIN,84.1,1930
FIN,,1935
FIN,,1940
FIN,,1945
FIN,98.5,1950
FIN,,1955
FIN,99,1960
FIN,,1965
FIN,99,1970
FIN,,1975
FIN,99,1980
FIN,,1985
FIN,100,1990
FIN,,1995
FIN,100,2000
FIN,,2005
FIN,100,2010
FJI,,1905
FJI,,1900
FJI,,1910
FJI,,1915
FJI,55.1,1920
FJI,,1925
FJI,,1930
FJI,,1935
FJI,,1940
FJI,64.4,1945
FJI,67.5,1950
FJI,,1955
FJI,,1960
FJI,,1965
FJI,79,1970
FJI,,1975
FJI,83,1980
FJI,,1985
FJI,89.2,1990
FJI,91.6,1995
FJI,93.6,2000
FJI,93.7,2005
FJI,96.3,2010
FRA,85.9,1905
FRA,83.5,1900
FRA,88.1,1910
FRA,,1915
FRA,91.8,1920
FRA,93.9,1925
FRA,94.7,1930
FRA,96,1935
FRA,,1940
FRA,96.6,1945
FRA,96.5,1950
FRA,,1955
FRA,96.6,1960
FRA,,1965
FRA,97,1970
FRA,,1975
FRA,98,1980
FRA,,1985
FRA,99,1990
FRA,,1995
FRA,99,2000
FRA,99,2005
FRA,99,2010
GAB,,1905
GAB,,1900
GAB,,1910
GAB,,1915
GAB,,1920
GAB,,1925
GAB,,1930
GAB,,1935
GAB,,1940
GAB,,1945
GAB,3,1950
GAB,,1955
GAB,12.4,1960
GAB,,1965
GAB,,1970
GAB,,1975
GAB,40.8,1980
GAB,,1985
GAB,55.9,1990
GAB,63.2,1995
GAB,70.7,2000
GAB,83.8,2005
GAB,88.4,2010
GBR,,1905
GBR,,1900
GBR,,1910
GBR,,1915
GBR,,1920
GBR,,1925
GBR,,1930
GBR,,1935
GBR,,1940
GBR,,1945
GBR,98.5,1950
GBR,,1955
GBR,99,1960
GBR,99,1965
GBR,99,1970
GBR,,1975
GBR,99,1980
GBR,,1985
GBR,99,1990
GBR,,1995
GBR,99,2000
GBR,99,2005
GBR,99,2010
GEO,,1905
GEO,,1900
GEO,,1910
GEO,,1915
GEO,,1920
GEO,,1925
GEO,,1930
GEO,,1935
GEO,,1940
GEO,,1945
GEO,,1950
GEO,,1955
GEO,,1960
GEO,,1965
GEO,,1970
GEO,,1975
GEO,,1980
GEO,,1985
GEO,,1990
GEO,,1995
GEO,99.7,2000
GEO,,2005
GEO,99.7,2010
GHA,,1905
GHA,,1900
GHA,,1910
GHA,,1915
GHA,,1920
GHA,,1925
GHA,,1930
GHA,,1935
GHA,,1940
GHA,,1945
GHA,22.5,1950
GHA,,1955
GHA,27,1960
GHA,,1965
GHA,30.2,1970
GHA,,1975
GHA,44.5,1980
GHA,,1985
GHA,58.2,1990
GHA,64.5,1995
GHA,70.7,2000
GHA,,2005
GHA,80.9,2010
GIN,,1905
GIN,,1900
GIN,,1910
GIN,,1915
GIN,,1920
GIN,,1925
GIN,,1930
GIN,,1935
GIN,,1940
GIN,,1945
GIN,3,1950
GIN,,1955
GIN,,1960
GIN,8.6,1965
GIN,,1970
